Control Cell X	Control Cell Y	SAR X	SAR Y
-140.373595351881	778.919982910156	-140.373595351881	774.039978027344
-137.335129063906	779.119995117188	-137.335129063906	774.640014648438
-134.297686810867	778.960021972656	-134.297686810867	774.520019531250
-131.261268103955	778.880004882813	-131.261268103955	774.320007324219
-128.225872454677	778.799987792969	-128.225872454677	774.840026855469
-125.191499374839	778.760009765625	-125.191499374839	774.320007324219
-122.158148376567	778.679992675781	-122.158148376567	774.400024414063
-119.125818972292	779.200012207031	-119.125818972292	774.280029296875
-116.094510674759	778.719970703125	-116.094510674759	774.359985351563
-113.064222997021	778.520019531250	-113.064222997021	774.599975585938
-110.034955452443	779.200012207031	-110.034955452443	774.159973144531
-107.006707554687	778.799987792969	-107.006707554687	774.359985351563
-103.979478817741	778.400024414063	-103.979478817741	774.400024414063
-100.953268755890	778.679992675781	-100.953268755890	774.359985351563
-97.928076883731	778.799987792969	-97.928076883731	774.359985351563
-94.903902716170	779.000000000000	-94.903902716170	774.719970703125
-91.880745768418	778.799987792969	-91.880745768418	774.200012207031
-88.858605556002	778.960021972656	-88.858605556002	774.479980468750
-85.837481594738	778.679992675781	-85.837481594738	774.599975585938
-82.817373400772	779.320007324219	-82.817373400772	774.159973144531
-79.798280490541	779.119995117188	-79.798280490541	774.719970703125
-76.780202380799	779.280029296875	-76.780202380799	774.200012207031
-73.763138588591	778.799987792969	-73.763138588591	774.599975585938
-70.747088631289	778.840026855469	-70.747088631289	774.359985351563
-67.732052026553	779.000000000000	-67.732052026553	774.200012207031
-64.718028292359	778.960021972656	-64.718028292359	774.320007324219
-61.705016946988	779.080017089844	-61.705016946988	774.599975585938
-58.693017509018	779.280029296875	-58.693017509018	774.440002441406
-55.682029497339	779.359985351563	-55.682029497339	774.200012207031
-52.672052431150	779.119995117188	-52.672052431150	774.599975585938
-49.663085829940	779.320007324219	-49.663085829940	774.880004882813
-46.655129213517	778.880004882813	-46.655129213517	773.919982910156
-43.648182101988	778.679992675781	-43.648182101988	774.559997558594
-40.642244015758	778.479980468750	-40.642244015758	774.520019531250
